Zcta5,City,Bedroom,MedianPrice,DrivingDistance,DrivingTime,TransitTime,EnglishScore,MathScore,ScienceScore
01431,"Ashby, MA",1,,54.84,99,150,,,
01431,"Ashby, MA",2,195600,54.84,99,150,,,
01431,"Ashby, MA",3,243100,54.84,99,150,,,
01431,"Ashby, MA",4,278600,54.84,99,150,,,
01431,"Ashby, MA",5,,54.84,99,150,,,
01432," Ayer, MA",1,,36.86,72,86,,,
01432," Ayer, MA",2,193200,36.86,72,86,,,
01432," Ayer, MA",3,287500,36.86,72,86,,,
01432," Ayer, MA",4,336800,36.86,72,86,,,
01432," Ayer, MA",5,,36.86,72,86,,,
01450," Groton, MA",1,,41.5,65,91,63,80,52
01450," Groton, MA",2,284400,41.5,65,91,63,80,52
01450," Groton, MA",3,385500,41.5,65,91,63,80,52
01450," Groton, MA",4,534900,41.5,65,91,63,80,52
01450," Groton, MA",5,597200,41.5,65,91,63,80,52
01460,"Littleton, MA",1,,37.58,52,93,67,83,59
01460,"Littleton, MA",2,310100,37.58,52,93,67,83,59
01460,"Littleton, MA",3,368400,37.58,52,93,67,83,59
01460,"Littleton, MA",4,510900,37.58,52,93,67,83,59
01460,"Littleton, MA",5,556500,37.58,52,93,67,83,59
01463," Pepperell, MA",1,,45.7,72,221,,,
01463," Pepperell, MA",2,204800,45.7,72,221,,,
01463," Pepperell, MA",3,285600,45.7,72,221,,,
01463," Pepperell, MA",4,357800,45.7,72,221,,,
01463," Pepperell, MA",5,388200,45.7,72,221,,,
01464," Shirley, MA",1,,42.51,79,88,,,
01464," Shirley, MA",2,190100,42.51,79,88,,,
01464," Shirley, MA",3,270900,42.51,79,88,,,
01464," Shirley, MA",4,350700,42.51,79,88,,,
01464," Shirley, MA",5,,42.51,79,88,,,
01469," Townsend, MA",1,113400,51.65,77,221,,,
01469," Townsend, MA",2,192400,51.65,77,221,,,
01469," Townsend, MA",3,237500,51.65,77,221,,,
01469," Townsend, MA",4,276000,51.65,77,221,,,
01469," Townsend, MA",5,,51.65,77,221,,,
01474," Townsend, MA",1,,54.44,83,188,,,
01474," Townsend, MA",2,203900,54.44,83,188,,,
01474," Townsend, MA",3,255900,54.44,83,188,,,
01474," Townsend, MA",4,281000,54.44,83,188,,,
01474," Townsend, MA",5,,54.44,83,188,,,
01701,"Framingham, MA",1,131800,24.32,50,131,46,66,45
01701,"Framingham, MA",2,283400,24.32,50,131,46,66,45
01701,"Framingham, MA",3,327200,24.32,50,131,46,66,45
01701,"Framingham, MA",4,428400,24.32,50,131,46,66,45
01701,"Framingham, MA",5,473000,24.32,50,131,46,66,45
01702,"Framingham, MA",1,123900,23.61,49,104,46,66,45
01702,"Framingham, MA",2,192300,23.61,49,104,46,66,45
01702,"Framingham, MA",3,296800,23.61,49,104,46,66,45
01702,"Framingham, MA",4,416400,23.61,49,104,46,66,45
01702,"Framingham, MA",5,465600,23.61,49,104,46,66,45
01718,"Acton, MA",1,,26.87,59,142,72,86,70
01718,"Acton, MA",2,,26.87,59,142,72,86,70
01718,"Acton, MA",3,,26.87,59,142,72,86,70
01718,"Acton, MA",4,,26.87,59,142,72,86,70
01718,"Acton, MA",5,,26.87,59,142,72,86,70
01719,"Boxboro, MA",1,121200,28.94,62,80,72,86,70
01719,"Boxboro, MA",2,133300,28.94,62,80,72,86,70
01719,"Boxboro, MA",3,490400,28.94,62,80,72,86,70
01719,"Boxboro, MA",4,660400,28.94,62,80,72,86,70
01719,"Boxboro, MA",5,,28.94,62,80,72,86,70
01720,"Acton, MA",1,138200,26.16,54,72,72,86,70
01720,"Acton, MA",2,236900,26.16,54,72,72,86,70
01720,"Acton, MA",3,455800,26.16,54,72,72,86,70
01720,"Acton, MA",4,603500,26.16,54,72,72,86,70
01720,"Acton, MA",5,685000,26.16,54,72,72,86,70
01721,"Ashland, MA",1,,28.83,54,116,63,79,42
01721,"Ashland, MA",2,288600,28.83,54,116,63,79,42
01721,"Ashland, MA",3,332400,28.83,54,116,63,79,42
01721,"Ashland, MA",4,512400,28.83,54,116,63,79,42
01721,"Ashland, MA",5,,28.83,54,116,63,79,42
01730,"Bedford, MA",1,,21.19,35,91,64,72,37
01730,"Bedford, MA",2,475000,21.19,35,91,64,72,37
01730,"Bedford, MA",3,550500,21.19,35,91,64,72,37
